,company,station,pollutant,year,month,emission,availability
264,VISA SunCoke Limited,CEMS-1,PM,2016,1,30668,0.6870071684587814
265,VISA SunCoke Limited,CEMS-2,PM,2016,1,31310,0.7013888888888888
266,Vedanta Ltd.,CEMS-1,PM,2016,1,30782,0.6895609318996416
267,Vedanta Ltd.,CEMS-2,PM,2016,1,34438,0.7714605734767025
268,Vedanta Ltd.,CEMS-3,PM,2016,1,19169,0.429413082437276
269,Visa Steel Limited,CEMS-1,PM,2016,1,29810,0.6677867383512545
270,Visa Steel Limited,CEMS-3,PM,2016,1,29808,0.667741935483871
271,Visa Steel Limited,CEMS-4,PM,2016,1,29523,0.6613575268817204
272,Vishal Metallics Pvt Ltd,CEMS-1,PM,2016,1,4423,0.09908154121863799
273,Yazdani Steel and Power Limited,CEMS-1,PM,2016,1,31511,0.7058915770609319
